osm_id,osm_type,name,category,amenity,lat,lon,postcode,street,cuisine,website
3895325236,node,Cheezious Pizza,Fast Food,fast_food,51.5420136,-0.3465031,UB6 8PX,Oldfield Lane North,pizza,
3895353237,node,Chicken Hot,Fast Food,fast_food,51.5418776,-0.3460873,UB6 8PU,Oldfield Lane North,chicken,
3898185143,node,Cellar Door,Bar,bar,51.5114251,-0.1194239,WC2E 7DN,Aldwych,,
3898255912,node,Curry House CoCo Ichibanya,Restaurant,restaurant,51.5117922,-0.1278392,WC2H 7JE,Great Newport Street,japanese,
3898669404,node,Xian Biang Biang Noodles,Restaurant,restaurant,51.5168392,-0.0734888,E1 7AL,Wentworth Street,asian;noodles,https://xianbiangbiangnoodles.com
3903342624,node,Pret A Manger,Fast Food,fast_food,51.5205659,-0.0894412,EC1Y 4AB,Chiswell Street,sandwich,
3912562393,node,Golden Dragon,Restaurant,restaurant,51.3763226,0.304068,,Ash Road,chinese,http://www.goldendragonrestaurant.co.uk
3914624970,node,Bake + Brew,Fast Food,fast_food,51.5588125,-0.2808008,HA9 0FA,Exhibition Way,pasty,
3914624973,node,Starbucks,Coffee Shop,cafe,51.558723,-0.2819915,,,coffee_shop,https://www.starbucks.com/store-locator/store/1008673/wembley-civic-centre-brent-civic-centre-engineers-way-wembley-eng-ha-9-
3918520307,node,Capeesh,Restaurant,restaurant,51.4999303,-0.0172966,E14 9HN,Pan Peninsula Square,italian,
3919479120,node,Brera,Coffee Shop,cafe,51.5060416,-0.0278935,E14 8RR,Westferry Circus,coffee_shop,
3922896217,node,Happy Valley,Fast Food,fast_food,51.5661328,0.0020244,E11 4BA,Richmond Road,chinese,
3922937257,node,New Graces Chinese Restaurant,Restaurant,restaurant,51.5541361,0.0050254,E11 4HH,High Road Leytonstone,chinese,https://take-a-way.co.uk/menu/6634/New%20Graces%20-%20Leytonstone/
3924148329,node,D. James,Fast Food,fast_food,51.4214473,-0.4194224,,,fish_and_chips,
3924148333,node,Shappi Tandoori,Restaurant,restaurant,51.4232027,-0.4194995,,,asian,
3925313694,node,London Beer Lab,Bar,bar,51.4633025,-0.116133,SW9 8BP,Nursery Road,,https://www.londonbeerlab.com/
3925439675,node,Gouqi,Restaurant,restaurant,51.5074066,-0.1295611,SW1Y 5BN,Cockspur Street,chinese,
3931711557,node,Beer + Burger,Bar,bar,51.5358883,-0.1225789,N1C 4AS,York Way,burger,https://beerandburgerstore.com/
3932136286,node,Boulangerie Jade,Coffee Shop,cafe,51.4925814,0.0706419,SE18 6GD,Major Draper Street,,
3932136290,node,SALT Woolwich,Pub,pub,51.4923617,0.0717588,SE18 6GD,Major Draper Street,pizza,
3935808953,node,Pizza de Vinci,Restaurant,restaurant,51.4654983,-0.1555532,SW11 5QL,Lavender Hill,pizza,
3936252062,node,Harringtons Sandwiches,Fast Food,fast_food,51.2966532,-0.3569244,,,,
3936302457,node,Trattoria da Carlo,Restaurant,restaurant,51.296508,-0.3569118,KT22 9RD,The Street,,
3936798452,node,Bad Egg,Restaurant,restaurant,51.5189954,-0.0898031,EC2Y 9AW,Ropemaker Street,,
3950065777,node,Woodlands Cafe,Coffee Shop,cafe,51.3234508,0.2432221,,,,
3951567703,node,Puccino's,Fast Food,fast_food,51.4630282,-0.3015112,TW9 2NA,Kew Road,,
3954369561,node,Nancy's Sandwich Bar,Fast Food,fast_food,51.3975708,0.300209,DA3 7QD,Station Road,sandwich,
3958734785,node,Digby's,Coffee Shop,cafe,51.4644364,-0.1703016,,,,
3958734786,node,Up Caffe Bar,Coffee Shop,cafe,51.4642908,-0.1699182,,,,
3958734787,node,Lands End Pasty Company,Fast Food,fast_food,51.464249,-0.1698545,SW11 2QP,Saint John's Hill,,
3959106671,node,Meininger Hotel,Hotel,hostel,51.4955126,-0.1797915,,Queen's Gate,,https://www.meininger-hotels.com/en/hotels/london/hotel-london-hyde-park/
3961636421,node,Subway,Fast Food,fast_food,51.5524837,-0.1118275,N7 8DA,Holloway Road,sandwich,https://restaurants.subway.com/united-kingdom/en/london/222-holloway-road
3961676472,node,La Mia Cucina,Restaurant,restaurant,51.5588225,-0.1205198,,,italian,
3964548742,node,Oottupura,Restaurant,restaurant,51.3679195,-0.2635616,KT19 0DT,Kingston Road,indian,
3973541459,node,Souk Mediterranean,Coffee Shop,cafe,51.5193918,-0.0631475,E1 5HR,Vallance Road,,
3973541461,node,Al-Safa Grill,Fast Food,fast_food,51.5193239,-0.0631127,E1 5HR,Vallance Road,,
3977245272,node,Farrago,Restaurant,restaurant,51.4607109,-0.1652144,SW11 1HH,Battersea Rise,italian,
3978235771,node,Blossom White,Coffee Shop,cafe,51.569001,-0.1108665,,,,
3978707215,node,Palace Theatre Cafe Bar,Coffee Shop,cafe,51.657298,-0.3971836,,,,
3978723721,node,Heavenly Desserts,Restaurant,restaurant,51.6565089,-0.3979536,WD17 2BS,High Street,dessert,
3978876371,node,Cino's Sandwhich Bar,Fast Food,fast_food,51.5209633,-0.1096243,,,,
3979686316,node,Zara Cafe,Coffee Shop,cafe,51.5598718,-0.1148806,,Hornsey Road,,
3979737462,node,Pret A Manger,Fast Food,fast_food,51.5277638,-0.0893535,EC1V 1NR,City Road,sandwich,
3980220829,node,Nando's,Restaurant,restaurant,51.528187,-0.09086,EC1V 1JN,City Road,chicken;portuguese,https://www.nandos.co.uk/restaurants/old-street
3983687177,node,Hyatt House London Stratford,Hotel,hotel,51.5425851,-0.0072921,E20 1GL,Montfichet Road,,https://www.hyatt.com/hyatt-house/en-US/lhrxs-hyatt-house-london-stratford
3985642227,node,Original Bagel Bakery,Fast Food,fast_food,51.5224788,-0.0974574,EC1M 7AA,Goswell Road,,
3985644391,node,FARE,Restaurant,restaurant,51.523555,-0.0980205,EC1V 9HL,Old Street,mediterranean,https://www.farelondon.com/
3985644392,node,Sun Cafe,Coffee Shop,cafe,51.5242915,-0.099328,EC1V 7EN,Goswell Road,,
3986104047,node,Flat Iron Spitalfields,Restaurant,restaurant,51.519506,-0.0743342,E1 6LY,Commercial Street,steak_house,https://flatironsteak.co.uk/restaurant/spitalfields
3995967165,node,JRC Global Buffet,Restaurant,restaurant,51.6573698,-0.3988791,WD17 1LQ,The Parade,international,
3999155306,node,Costa,Coffee Shop,cafe,51.3743936,-0.3391547,KT10 0SR,Station Approach,coffee_shop,
3999155307,node,Panshi,Restaurant,restaurant,51.3748952,-0.3391822,KT10 0SP,Station Approach,,http://www.thepanshi.co.uk/
4001421443,node,The Hoxton,Hotel,hotel,51.5172111,-0.1220985,WC1V 7BD,High Holborn,,https://thehoxton.com/
4001517224,node,Tandoori,Fast Food,fast_food,51.5307382,-0.1206617,,,indian,
4001518666,node,Venezia,Coffee Shop,cafe,51.5639028,-0.105252,,,italian,
4001619076,node,Leman Street Tavern,Restaurant,restaurant,51.5137016,-0.0703315,E1 8PT,Leman Street,,https://www.lemanstreettavern.co.uk/
4002880204,node,Premier Inn,Hotel,hotel,51.4097316,-0.3011433,KT1 2PD,Wheatfield Way,,https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-kingston-upon-thames.html
4005692200,node,Frame Cafe & Bar,Coffee Shop,cafe,51.5655812,-0.1082105,N4 3JP,Clifton Terrace,,https://framefinsbury.co.uk/
4005692201,node,Starbucks,Coffee Shop,cafe,51.565336,-0.1079167,N4 3JU,Wells Terrace,coffee_shop,https://www.starbucks.com/store-locator/store/1009102/finsbury-wells-terrace-wells-terrace-finsbury-park-london-eng-n-4-3-ju-gb
4009487830,node,City Bar & Kitchen,Pub,pub,51.5152081,-0.0774089,E1 7BH,Stoney Lane,,
4020316989,node,The Black Lion,Pub,pub,51.551175,-0.1918711,NW6 1RD,West End Lane,,
4021881294,node,Pharmacy 2,Restaurant,restaurant,51.4934731,-0.1168643,SE11 6AJ,Newport Street,,https://www.pharmacyrestaurant.com/
4026677008,node,Queen Elisabeth,Pub,pub,51.4746783,-0.1888037,,,,
4026677009,node,Queen Elisabeth Chelsea,Hotel,hostel,51.4747385,-0.188726,,,,
4029722724,node,C. M. Cafe,Coffee Shop,cafe,51.4788229,-0.1189311,,Dorset Road,,
4031256098,node,Gura Gura,Restaurant,restaurant,51.5126959,-0.1266493,,Slingsby Place,asian,
4042525110,node,Sanwan,Restaurant,restaurant,51.5581861,-0.1209032,,,thai,
